id,generation,parent1,parent2,[in] input00,[in] input01,[in] input02,[in] input03,[in] input04,[in] input05,[in] input06,[in] input07,[in] input08,[in] input09,[in] input10,[in] input11,[in] input12,[in] input13,[in] input14,[in] input15,[in] input16,[in] input17,[in] input18,[in] input19,[in] input20,[min] weight
0,0,None,None,18.59284602,5.692747848,6.670633912,3.863139617,2.789698917,0.960160035,0.442836181,2.86305297,4.891774843,5.24289587,4.853529624,12.24782914,16.31510744,0.629463849,0.682816748,1.539709991,7.601237623,12.95596723,26.90137354,16.29136087,28.95672764,187535546.5
1,0,None,None,10.04623125,9.890179241,9.400342058,3.026998432,1.103131552,0.663606469,0.997513303,3.550240046,2.133239653,5.767482054,6.89271736,14.44993581,19.08547903,1.03283915,0.393018387,2.890779708,7.941596395,0.548638757,26.81139527,8.984297304,10.36497121,236692869.9
2,0,None,None,11.50118587,6.446683517,9.455453021,2.835939122,1.488400248,0.541861357,0.188605941,2.637652124,4.003086167,3.558093897,5.818184249,14.812134,13.65974654,0.181858089,1.415799782,4.069530967,7.739175467,2.437852766,2.904924206,7.146072765,16.23847496,100473894.9
3,0,None,None,11.37966916,9.28877953,7.593981766,2.460576832,1.237032529,0.34451555,0.020982029,4.864129063,3.556662926,4.038427066,6.523723172,10.16260791,16.18195,0.818648481,0.091615419,2.959544994,6.532886004,17.14568439,8.274235231,20.51710665,27.80823835,39021684.86
4,0,None,None,11.5773654,9.119816666,6.000691938,1.126634975,2.704808038,0.87370387,0.379223803,3.974059717,2.315656684,6.080805256,2.788138247,10.66769373,16.87083511,1.387169482,0.484940787,3.827978789,4.234077178,26.18725672,16.06311742,24.87080418,13.92838265,6425012.156
5,0,None,None,14.63031296,6.727409715,7.008390193,1.221235,2.127641941,0.717943891,0.269339478,4.964586511,2.761446721,6.092215333,5.400828004,19.75239313,16.70767373,0.372227413,0.914027555,4.325653464,9.839202467,9.373052911,22.58224403,28.11964771,14.12260423,268730088.4
6,0,None,None,18.17372047,8.580528136,9.739446578,3.875078895,2.843366723,0.192492184,0.796891737,3.413441038,4.023965078,2.863707487,5.714912445,10.69980588,17.39826063,0.187358858,0.529463639,4.062782691,8.183066547,22.82267814,29.01378602,9.170505067,20.12419145,10195632.65
7,0,None,None,15.61053106,9.891341676,9.278453504,2.916646328,1.702513772,0.434955003,0.131334619,3.282976826,2.731758456,4.728344661,2.288665541,18.73407343,10.21320095,0.899607886,0.620241298,4.637562744,8.318600836,29.10712093,27.53458422,1.765577601,19.61230318,7363539.135
8,0,None,None,14.04278682,5.175939357,5.76337078,3.176519861,2.8704519,0.309335942,0.695231887,3.636225226,4.993475467,6.691911376,2.890524532,15.78280535,15.3066703,0.275887712,1.326156233,4.615074761,4.049723582,5.628391976,1.874955148,0.59660355,0.575833637,136229130.5
9,0,None,None,17.22410934,8.694882341,7.732261586,2.881884589,2.122123024,0.705995308,0.340093749,3.532979057,3.035090329,5.607216824,3.623542,17.04425425,19.583308,1.341086811,1.145730785,2.580711853,5.285304864,5.510492326,25.05837222,13.87945911,16.18320275,117628464.1
10,0,None,None,14.69902095,5.123034338,6.577025763,1.894926862,2.408826202,0.753007737,0.559174765,2.591895245,3.286665121,2.648324537,6.224261049,17.66314828,13.9263735,0.451783948,0.064171801,3.158931012,5.440737415,0.858218638,10.42663743,12.24354648,2.917245563,113930109.8
11,0,None,None,19.5436064,6.75591082,5.223304004,1.689407437,1.677686318,0.79859134,0.645623416,3.045852481,3.919769385,4.449869373,6.908879569,17.32223707,17.15877634,1.38755514,0.756492614,2.561230722,5.385620298,0.169008006,20.07520428,16.7429404,12.40083303,121459959.7
12,0,None,None,11.2432238,5.860257386,8.048131984,2.834268442,1.363009206,0.292389833,0.749707665,2.089999271,4.034575427,5.330460234,4.858540468,10.34668333,10.07220967,1.482424027,1.09797925,3.087833697,9.533637102,14.7548278,7.685919006,7.459748077,4.34674687,929785.6527
13,0,None,None,15.45111008,6.159917225,8.97621879,3.509627815,1.169142762,0.244940128,0.255131112,4.902835405,4.420715256,2.256158557,4.674253748,10.60547871,12.31583895,0.108461248,0.322464178,4.738141259,9.565370087,21.93114199,12.68245174,15.31480793,14.45439202,4302344.715
14,0,None,None,19.10601351,9.90225494,7.481757129,1.64838449,3.602334553,0.390090355,0.939302974,2.407286104,3.529756753,2.654071499,3.49805694,18.51534776,13.611043,0.0033459,0.287688772,4.736608841,8.640398065,4.473819916,17.96202171,17.85032423,26.60662767,267822306.1
15,0,None,None,18.3977675,7.481368529,5.000220091,3.607279591,2.341356826,0.584660038,0.210746343,3.67623959,2.308371126,4.193801513,6.559465787,10.27292964,10.25969507,1.189247882,1.000120378,2.728191817,9.710193687,18.62906085,27.45819585,8.193229756,22.45860112,23077786.5
16,0,None,None,12.01822192,9.047701561,5.063334482,2.00771521,2.102878777,0.760615795,0.517787971,4.845670026,3.995012827,2.979497649,4.485610702,11.77600119,12.49006228,0.975826288,1.483858816,1.762257312,6.985828619,14.48969577,16.77982017,29.40809837,27.26593034,153790277.7
17,0,None,None,11.29266336,9.987765388,7.585998229,2.483467181,3.983107574,0.530421998,0.53141863,3.2040936,4.282135331,3.140186603,4.768423055,15.82446704,14.5427286,1.310391443,0.944476525,4.722161346,4.454853263,0.586330151,2.041644257,14.54460748,6.540324389,94457241.78
18,0,None,None,17.40210849,5.641307611,6.166045089,1.052288918,3.949742742,0.224852641,0.297620834,3.355484767,3.870277355,4.445640891,2.063303127,14.93569538,16.52737307,0.658817671,0.836159492,1.483136484,4.40628863,28.32902629,14.02825017,18.49351638,7.188354549,1094870.551
19,0,None,None,18.08071935,5.600948538,5.978937315,2.404751299,2.927991068,0.19271268,0.823622467,2.530813971,4.790241004,2.176368317,2.131765625,12.94828756,16.73165524,1.348227101,1.437835865,4.965893569,7.721460284,10.75226244,15.72807372,13.96504825,23.18031059,156629893.7
20,0,None,None,12.79286238,9.99648329,7.501168672,1.474179097,3.713284222,0.93277061,0.532485342,3.758023458,4.183805559,2.565265466,3.585022567,15.52264372,15.63983747,0.905859531,1.334256058,2.752808916,4.225432276,22.62845867,9.976407369,1.097699337,6.035060665,781485.6467
21,0,None,None,12.42979038,5.546904487,9.730022428,3.515207516,2.960029955,0.875459739,0.434893843,3.695464776,3.112073197,3.282029266,3.752339434,15.98261667,13.21826836,0.550035279,1.15957274,2.435922277,7.289904258,23.86862982,15.13049819,18.05400138,29.72226157,
22,0,None,None,16.10098559,6.427656344,7.624841563,3.590177936,3.612463019,0.232542161,0.733726613,4.574349803,4.89872771,2.996238353,2.586392048,13.15046769,10.12835568,1.320623308,1.473511088,2.593613243,9.963794284,13.43593068,17.30888959,4.893266368,0.911782795,108889722.1
23,0,None,None,16.88231755,8.902431696,9.257496543,2.080258581,3.227755329,0.709705961,0.30962857,2.247767257,3.224713184,2.063258401,2.114254179,10.66576148,11.06056441,0.305341798,0.441379567,2.699062733,5.653564301,4.388117068,14.0051794,13.90347311,10.15485986,67682748.44
24,0,None,None,17.77049304,6.107946803,7.446958669,3.439979592,1.133971725,0.737025036,0.824992434,4.875024731,3.14077965,5.774399458,4.434346026,16.68653537,10.28157137,0.059390029,1.192731634,4.914595567,4.035901562,3.389958641,26.55910805,3.518310774,2.285127335,224934753.7
25,0,None,None,13.41461153,5.881277504,7.684250028,3.027960811,1.505434751,0.770669025,0.550755745,3.082437044,3.279724942,3.369435218,3.021289392,19.58721529,16.52303332,0.026412019,0.475318913,3.012924709,5.696233125,28.56681144,5.046143582,2.751661269,14.57909778,2522715.477
26,0,None,None,15.01522948,5.103777538,8.714955072,3.256433003,1.019484544,0.674861135,0.936747651,4.395389006,2.288855759,3.42607854,2.026631845,12.14061622,12.72821486,1.084862966,0.57237922,4.635672275,7.870209187,1.76014959,11.69198121,2.961649466,29.30954406,258685704.7
27,0,None,None,11.22264274,7.958134765,6.937960726,2.115505672,3.699696161,0.183673667,0.344066596,4.433527457,4.107897455,4.123882795,2.338397454,15.76632424,10.9346933,0.593374105,1.41696725,3.194604171,5.264041889,1.049044101,22.41267132,16.89186184,2.108626083,144370815.2
28,0,None,None,12.61637956,9.330680282,7.492684702,3.314072856,2.111584102,0.608089405,0.990361754,3.855872747,4.934353203,4.976483517,5.225087619,10.35636045,12.67374379,0.365466908,0.367209292,3.584471161,6.15540645,25.78152862,0.238626216,9.212797752,22.33826934,47888.88136
29,0,None,None,14.55086136,5.295743703,5.769446358,3.850076232,2.757673472,0.444499929,0.974129941,3.624386873,4.395493809,2.336562995,5.257376618,11.98509177,10.92260893,1.23075554,0.039475694,2.890236089,9.946719803,0.433937667,11.63895798,15.83519281,16.31767677,79789838.36
30,0,None,None,17.85476241,7.939729347,7.091091326,1.743302411,2.222403996,0.623930395,0.171367352,3.587340945,3.7396796,6.676090225,3.701572807,15.39074482,16.43806659,0.648078955,0.957891604,3.225225481,4.558593328,16.4040371,10.77861697,23.32835068,19.33385859,140944630
31,0,None,None,13.49857812,5.008550353,9.997289792,2.639432232,2.244190339,0.73407763,0.417102586,3.594479479,2.221037065,6.400893353,6.231065259,16.57436281,18.29806051,1.393328982,0.307995065,2.477818759,5.109566452,24.15495979,15.41271267,7.279458938,3.679574434,1537232.367
32,0,None,None,19.80041248,7.350396411,6.333840779,2.641382476,1.621695354,0.889336734,0.800622148,2.34394466,2.405874329,5.806206708,3.756885239,18.57146404,17.42762289,0.95418834,0.116713148,4.455565106,9.247115953,24.84448413,22.88781422,24.5995453,15.72636833,6200822.291
33,0,None,None,12.36712395,8.734066657,8.948232328,1.269850731,2.191921579,0.192000828,0.236967784,2.064671997,2.505903505,6.799604077,5.066214413,10.27726205,13.03797813,0.624095151,1.253523706,1.927754494,5.819568248,10.39860842,24.48233738,24.87614139,1.966625139,188259759.7
34,0,None,None,17.95097135,9.010806129,8.911385661,3.302193922,3.312888748,0.344582789,0.761927741,4.552927608,3.506341786,3.519747982,6.653104979,11.74265533,13.86264831,0.341720262,0.974536221,4.673813331,8.566262276,11.81187267,26.12073807,9.682619146,8.23106912,116510018.3
35,0,None,None,10.45295507,5.515831368,6.436122765,1.561922247,3.648462071,0.893280775,0.606275646,4.414220669,2.182370159,2.482590872,5.163414751,18.246155,14.18975206,0.370351303,0.006196625,2.541683994,5.37894679,6.753694605,7.465206938,11.35799221,7.893007391,114831023.4
36,0,None,None,16.63392334,7.439554164,6.534298514,3.379103599,3.23462664,0.301161388,0.687609206,4.340041534,3.695941131,2.783953191,3.409488008,15.35545242,14.30007722,0.101443693,1.247183235,1.856239817,5.775404564,24.44727129,1.214915468,16.59941787,1.821049362,16882140.56
37,0,None,None,13.54150924,8.791855986,5.540438193,1.905433932,2.232245469,0.046493098,0.815380037,2.159898569,3.377118139,5.668880526,2.345876399,16.34500473,14.9396552,0.115063793,1.022714134,4.304152774,8.044162092,18.36782554,8.167888882,25.99259562,25.71041885,189219784.4
38,0,None,None,13.63297145,6.403917325,7.757217657,1.039566352,2.020905941,0.079246712,0.702170938,3.207609238,2.133740773,4.49655988,5.414592493,13.34097505,12.03234365,0.266598038,0.013199685,4.900690824,8.147098692,17.17008327,15.78315819,12.22530237,16.72908475,4619027.991
39,0,None,None,15.88468535,9.971149175,7.485265247,1.992012336,3.047849081,0.036871468,0.23032795,4.022337008,4.09050535,3.48792453,6.080034094,11.23790192,10.83371561,0.263010362,0.64411838,3.043909265,9.952323708,9.377716207,22.18938143,4.293960467,5.840139778,101504745
40,0,None,None,10.02046262,6.901749126,7.970902472,1.502268856,3.544960342,0.870902926,0.579704265,3.911148507,4.562148934,4.214285357,5.313157835,17.07550085,10.25707014,0.997876391,0.763354288,4.878480143,7.852600282,1.133779852,16.71937731,0.974701588,22.89984589,100726073.7
41,0,None,None,16.30147506,9.738130886,8.148269586,2.904414838,3.468819574,0.145575402,0.111237672,4.052324175,2.218543795,5.401992651,3.519116084,10.51197869,19.30818317,0.87520375,0.744742272,3.915230634,9.561225077,19.69603642,27.72030927,17.35904257,0.556721545,24173619.4
42,0,None,None,10.10564618,8.877404311,9.498100713,2.382151982,1.591681822,0.361508162,0.41005715,2.044498986,3.841021159,2.979237573,4.492548458,19.46907034,14.73779938,1.218100613,1.00836303,1.744596664,7.938741244,7.330364955,23.62747559,28.15309225,9.862395333,187713991.4
43,0,None,None,18.45886693,9.761070224,5.686570489,2.876591306,2.85966659,0.280216613,0.235731928,4.530026013,2.404352005,3.883019632,6.1814139,18.91620474,13.50284091,1.22363695,0.900912421,1.35096804,4.922926277,12.95364046,11.88970313,6.229068834,23.60553106,200300666.5
44,0,None,None,11.6438495,5.929982541,7.435984346,2.545990608,3.421490578,0.817234282,0.98134883,4.406288555,4.419481319,4.774000551,3.571464167,17.11879752,16.52604938,0.182403007,1.39525264,4.874770974,9.789542552,11.36225081,2.844465008,23.74780478,20.04740091,167398512.8
45,0,None,None,17.04071731,6.176210779,7.501812477,3.953211864,3.443426931,0.585414204,0.192598028,4.689178381,2.022933691,3.829308958,5.43340752,17.10328532,12.32481032,0.805777597,1.427785852,3.862224411,8.558381397,19.16310724,2.132117063,19.15928229,23.44903715,218961720
46,0,None,None,11.3671143,7.14949578,5.87749714,2.14995212,2.082083525,0.220731098,0.332520947,2.471590489,2.329443997,2.455871493,6.624252658,17.60483996,18.28392102,1.299702412,0.287733204,1.148488469,6.348285084,1.888992983,5.386521632,23.12511153,7.120504415,181069185.3
